Ep #,Misery,Score,VNTO,Reward,Win,Comments,question_tag,level
3x1,You Crash Into a Bonfire after colliding with someone,71,V,10000,y,,4_2,
3x1,You admitted murder while having a heart attack and would survive,76,N,15000,y,,4_3,
3x2,Your Daughter Demands Emancipation on TikTok,68,T,,,,1_base,
3x2,You Get peed on at a Music Festival,42,T,,,,1_base,
3x2,Your umbrella caught fire after you were struck by lightning,87,V,500,y,,1_1,
3x2,You Cannonball into a Frozen Lake,49,V,500,y,,1_2,
3x2,Old Woman went nude during Your Zoom Bat Mitzvah,47,N,1000,y,,2_1,
3x2,Your Toddler's Birthday Cake Calls Her a Loser,33,N,,,,2_1_base,
3x2,You're a child and are Attacked by a Bird while riding a scooter,42,V,,,,2_2_base,
3x2,You Are Mounted by a Stallion,60,V,1000,y,,2_2,
3x2,Your Dental Assitant is Reckless,35,V,2000,y,,3,39
3x2,You Dive Into a Piranha Party,67,V,5000,y,,4_1,
3x2,You are a motorcyclist who fell off the ramp at the start of a race you've Fallen and Can't Get Up,52,V,10000,y,,4_2,
3x2,You walked in on your hubby possibly having sex with his mom when you were already suspicious of incest,89,N,15000,y,,4_3,
3x3,Proctologist Tells You They Love You,36,T,,,,1_base,
3x3,Your Wife Is having sex with the Weatherman,75,T,,,,1_base,
3x3,Your Son has sex with His Car,69,V,500,n,,1_1,higher
3x3,Your Bump N' Grind Burns You,52,V,500,y,,1_2,
3x3,You mistakenly became a getaway driver after a first date ended with a bank robbery,77,N,1000,n,,2_1,
3x3,Your Head Gets Stuck in Stair Railing Mid-Railing after you tried to spice things up,60,N,,,,2_1_base,
3x3,Your Boyfriend Slept with Your Mom while on his way to meeting her,66,N,,,,2_2_base,
3x3,Your Son is Dating a Cockroach for a year,55,N,1000,n,,2_2,
3x3,An Entire Stadium of People Hates You,42,V,2000,y,,3,41
3x3,Your Pastor is Caught Having Sexy-Time,58,N,5000,y,,4_1,
3x3,Your Husband Virtually Kills You,35,V,10000,y,,4_2,
3x3,You fell into water & inadvertently got kicked in the face after trying to propose to your girlfriend while she was on a motorboat,51,V,15000,n,,4_3,lower
3x4,You're Still a Virgin at 75,67,T,,,,1_base,
3x4,Your Plus-One to a Wedding Hijacks the Mic,36,T,,,,1_base,
3x4,Your Bungee Cord Snaps,87,V,500,y,,1_1,
3x4,Your Hide-a-Bed Eats You,27,V,500,y,,1_2,
3x4,You are a Naked sunbatherer and you chased a wild boar after it stole your laptop,45,N,1000,y,,2_1,
3x4,Oops! You Take Your Dog to a Furry Convention,28,N,,,,2_1_base,
3x4,Ding Dong! Someone licked Your Doorbell for 3 hours,41,V,,,,2_2_base,
3x4,You Find Human Tongues in Your House that possibly belonged to a previous owner,45,N,1000,y,,2_2,
3x4,You Have to Pick Up Dog poop Barehanded,44,V,2000,y,(video story told by AEW's Jon Moxley for show),3,28
3x4,A Priest Drops Your Baby,49,V,5000,y,,4_1,
3x4,Your Mom Ruins Your Audition,34,V,10000,y,,4_2,
3x4,Your Doctor Removes the Wrong testicle and they were unable to reattach it so you being the patient sued them,94,N,15000,y,,4_3,
3x5,You're Stuck Behind a Garbage Truck for 15 Miles,32,T,,,,1_base,
3x5,You Call Your Boss Mommy During All-Staff Meeting,50,T,,,,1_base,
3x5,You jumped onto a trampoline and then crashed into the Side of a Pool missing the water,67,V,500,y,,1_1,
3x5,Kid Crawls into Your Bathroom Stall,38,V,500,n,,1_2,lower
3x5,Your Groin is Split by the Wooden Horse,95,P,1000,y,,2_1,
3x5,Your Knee Is Crushed by the Knee Splitter,91,P,,,,2_1_base,
3x5,You Spend a Day in the Scold's Bridle that includes an iron mask with a metal tongue depressor,77,P,1000,y,,2_2,
3x5,You Spend a Day Wearing the Shame Flute,62,P,,,,2_2_base,
3x5,You Get Dragged by a Horse,47,V,2000,y,,3,38
3x5,Your Stretcher Tips Over,61,V,5000,y,,4_1,
3x5,No One Comes to Your Loneliness Seminar,41,P,10000,y,,4_2,
3x5,A Toaster Toasts You,62,V,15000,n,,4_3,higher
3x6,You Reel in a Trash Bag of Body Parts,67,T,,,,1_base,
3x6,You Help a Friend Move in 100 Degree Heat,42,T,,,,1_base,
3x6,You're Almost Run Over by a Truck after falling off a motorcycle,79,V,500,y,,1_1,
3x6,Monkey Tries To Kidnap Your Baby,59,V,500,y,,1_2,
3x6,Your Brother Wins Millions while You Win $7 on POWERBALL,47,N,,,,2_1_base,
3x6,You are drunk and you pass Out Naked in a Bank as you mistook the bank for bedroom,57,N,1000,y,,2_1,
3x6,You are Caught Smelling Your Crotch on TV,60,V,,,,2_2_base,
3x6,You are a lady. Your odd ear condition makes you unable to hear male voices,68,N,1000,y,,2_2,
3x6,You fall on your face after stopping yourself from false-starting at the beginning of a track race and lose the race,31,V,2000,y,,3,42
3x6,Your Psychic Powers Fail - as a psychic and you get hit by car,70,V,5000,y,,4_1,
3x6,You're In a Wood War with Your Neighbor,36,V,10000,n,,4_2,higher
3x6,You Have 420 Kidney Stones Removed,79,N,15000,y,,4_3,
3x7,You find Out Via Venmo that your Partner is Cheating,68,T,,,,1_base,
3x7,Your Chinese Symbol Tattoo Means Big Load,45,T,,,,1_base,
3x7,A Car Knocks You into a Sewer and you needed surgery for a spinal cord injury,73,V,500,y,,1_1,
3x7,You Have a Really Big Toe,56,V,500,y,,1_2,
3x7,You're Stuck in a Public Toilet,66,N,1000,y,,2_1,
3x7,Your Salsa Gets Tea-Bagged,51,N,,,,2_1_base,
3x7,Your Wine Cellar Self-Destructs on You,54,V,,,,2_2_base,
3x7,You Get KO'd by a Cat,52,V,1000,n,,2_2,
3x7,You are covered in hair removal strips,49,O,2000,y,Audio only clip but judges saw full video to score,3,43
3x7,You Get Launched at Work,59,V,5000,y,,4_1,
3x7,You've Been Swallowed by a Hippo 3 Times and you survived,81,N,10000,y,,4_2,
3x7,You Blow Yourself Up,89,V,15000,n,,4_3,lower
3x8,Your Henna Tattoo Gives you Hep-C,75,T,,,,1_base,
3x8,You Spill Glitter All Over Your Couch,24,T,,,,1_base,
3x8,Your Boat Explodes,78,V,500,n,,1_1,middle
3x8,Your Dog Embarrasses you by holding onto your SUV's car horn for a long time,18,V,500,y,,1_2,
3x8,Your Wife Marries Your Stepson,86,N,1000,y,,2_1,
3x8,You Get Stuck In a Grease Vent,85,N,,,,2_1_base,
3x8,Fish is removed from your rectum (by doctors) after sitting on it by mistake,66,N,1000,y,,2_2,
3x8,You Crash into a Seafood Truck While Masturbating when driving,50,N,,,,2_2_base,
3x8,You're Handcuffed to a Mime for 24 Hours,50,V,2000,y,,3,53
3x8,You Break Your Body on the Escalator,57,V,5000,y,,4_1,
3x8,You're Stuck in the pavement hole for Two Hours,72,N,10000,n,,4_2,lower
3x8,You Get Hit by a Drift Car,75,V,15000,n,,4_3,higher
3x9,Hockey Puck Bursts Your Implant,66,T,,,,1_base,
3x9,You Slide into First & Feel Something Burst,43,T,,,,1_base,
3x9,You Get Pummeled by the Vault,62,V,500,y,,1_1,
3x9,You are the goalie. After a soccer ball was saved from going into the goal you celebrated prematurely only for the ball to bounce into the goal,44,V,500,n,,1_2,lower
3x9,Nobody Bids on Your Signed Merch at an auction put on by the Anti-Cruelty Society,44,N,,,,2_1_base,
3x9,You're Unknowingly the Face of an Erotic Novel,37,N,1000,n,,2_1,
3x9,You Dive Through Plate Glass,69,V,,,,2_2_base,
3x9,You Are Gored by a Bull,83,N,1000,y,,2_2,
3x9,You Crap Out During Your Big Interview,60,V,2000,y,,3,46
3x9,You Get Traded for Hotel Reservations,54,N,5000,y,,4_1,
3x9,You're Tackled by a Cart,49,V,10000,y,,4_2,
3x9,Your Ice Hockey Team Can't Skate and the players fell while getting on the ice,25,V,15000,y,,4_3,
3x10,Surprise! Your Spouse Has Another Family,82,T,,,,1_base,
3x10,No One Remembers You at HS Reunion,47,T,,,,1_base,
3x10,You're Crushed by Rolling Logs from a truck,92,V,500,y,,1_1,
3x10,The Product You're Selling on an infomercial Falls,45,V,500,y,,1_2,
3x10,You are a 52-yr-old woman swinger who had a heart attack at a sex festival,76,N,,,,2_1_base,
3x10,You were hospitalized after your wife placed a chastity nut on your penis during your sleep,81,N,1000,y,,2_1,
3x10,Your Car Gets Stolen & So Do You,66,V,1000,y,,2_2,
3x10,You are arrested for throwing beer cans out of a horse buggy while drunk in the afternoon,57,N,,,,2_2_base,
3x10,You Have to Search for car keys through Elephant poop,48,V,2000,y,,3,43
3x10,Your Workout Doesn't Work Out and is a failure,52,V,5000,n,(Can't find exact video),4_1,higher
3x10,You attempted to steal bus petrol but instead siphoned raw sewage,61,N,10000,y,,4_2,
3x10,You survived being put through a woodchipper,86,N,15000,y,,4_3,
3x11,Your Ice Sculpture Melts Before the Contest,50,T,,,,,
3x11,You're Tickled by a Mall Santa in April,31,T,,,,,
3x11,Your Cramp is Alive,46,V,500,y,,,
3x11,You Can't Park Anything,58,V,500,n,,,
3x11,An Alligator Bites You,62,V,,,(Can't find exact video),,
3x11,You Get a DUI Driving Your Lawn Mower,63,V,1000,n,,,
3x11,Oops! You Married Your Grandpa,51,N,,,,,
3x11,A Monkey Gives You Herpes,67,N,1000,y,,,
3x11,You Throw Up While Proposing,44,V,2000,y,,,
3x11,You've Been Praying to a Public Toilet,51,N,5000,y,,,
3x11,You're Arrested at a Strip Club During a Field Trip,64,N,10000,y,,,
3x11,You Fall Off a Cliff,90,V,15000,y,,,
3x12,Your Grandma Falls Into a Swamp,52,T,,,,,
3x12,Your Date Won't Shutup About Intermittent Fasting,32,T,,,,,
3x12,You Hear Your Parents Having Sex Three Times,39,V,500,n,,,
3x12,You're As High As a Kite,59,V,500,y,,,
3x12,Your  Neighbor Has an Emotional Support Rooster,42,N,,,,,
3x12,Your Dog Smashes the Coffee Table,38,V,1000,n,,,
3x12,You're Trapped in a Well & Mistaken for a Ghost,83,N,1000,y,,,
3x12,You  Dangle from a Cliff Then Get Hit by a Bus,81,N,,,,,
3x12,You Explode Your Face on Halloween,57,V,2000,y,(Celebrity story),,
3x12,Your Child Falls Through a Manhole,75,V,5000,y,,,
3x12,You Drop Your Dinner,28,V,10000,n,,,
3x12,You Have a Hard C**k Life,82,N,15000,y,,,
3x13,Barber Slices Half Your Ear Off,77,T,,,,,
3x13,You Attend 5-Hour Wedding: No Drinks No Booze,47,T,,,,,
3x13,You Motorcyle off a Cliff,73,V,500,n,,,
3x13,You Fight with Your Coworker on Live TV,50,V,500,y,,,
3x13,You're Allergic to Water,87,T,1000,y,,,
3x13,You Have the Hiccups Forever,86,V,,,,,
3x13,You Hit a Nun with a Golf Ball,26,T,1000,n,,,
3x13,Your Pastor Refers to Women as Penis Homes,50,T,,,,,
3x13,You're Harassed by a Camel,44,O,,,Audio only clip, but judges saw full video to score,
3x13,You Get Kicked in the Head by a Train Conductor,51,V,5000,y,,,
3x13,You're Trapped in Your Car for 13 Hours,72,T,10000,n,,,
3x13,You Bounce Into a Pool,56,V,15000,n,,,
