,Misery,gpt-4o,gpt-4o-mini,gpt-3.5-turbo,labels
480,Your Penis rotted after you injected it with petroleum jelly,8,9,10,8
481,You're Bonked on the Head and Forget How to Read,8,7,8,8
482,A Street Eats You,10,10,10,8
483,Your umbrella caught fire after you were struck by lightning,5,8,10,8
484,You walked in on your hubby possibly having sex with his mom when you were already suspicious of incest,8,10,10,8
485,Your Bungee Cord Snaps,9,10,9,8
486,You've Been Swallowed by a Hippo 3 Times and you survived,9,7,9,8
487,You Blow Yourself Up,10,10,10,8
488,Your Wife Marries Your Stepson,7,9,10,8
489,You Get Stuck In a Grease Vent,6,4,8,8
490,You Are Gored by a Bull,8,9,10,8
491,Surprise! Your Spouse Has Another Family,9,9,10,8
492,You were hospitalized after your wife placed a chastity nut on your penis during your sleep,7,7,9,8
493,You survived being put through a woodchipper,10,10,10,8
494,You're Trapped in a Well & Mistaken for a Ghost,8,8,7,8
495,You  Dangle from a Cliff Then Get Hit by a Bus,9,10,10,8
496,You Have a Hard C**k Life,3,2,7,8
497,You're Allergic to Water,10,8,9,8
498,You Have the Hiccups Forever,8,4,7,8
499,You Lose an Arm in Grinder,9,10,10,9
500,Your Wife Cuts off Your Genitals Twice,10,10,10,9
501,Your Dog Loves Bones,1,1,2,9
502,Oops! You Married Your Father,10,9,10,9
503,unlicensed doctor Leaves You Wtih One-inch Penis during operation,9,10,10,9
504,Your Plane Hits a Plane,10,10,10,9
505,You Lose Half Your Head due to drugs lab explosion,10,10,10,9
506,You woke up without a penis,9,10,10,9
507,You're Crushed by Broken Glass,8,9,9,9
508,Your Doctor Removes the Wrong testicle and they were unable to reattach it so you being the patient sued them,10,10,10,9
509,Your Groin is Split by the Wooden Horse,9,9,10,9
510,Your Knee Is Crushed by the Knee Splitter,9,10,10,9
511,You're Crushed by Rolling Logs from a truck,10,10,10,9
512,You Fall Off a Cliff,10,10,10,9
513,Your Surgeon's Mistake Leaves You Legless,10,10,10,10
